artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Arjun Ajnabee,"Maniac - Bonus Track [From ""Glory""]",T-Series,61,9,3137198
Ragini Vishwakarma,"Maniac - Bonus Track [From ""Glory""]",T-Series,61,9,3137198
Yo Yo Honey Singh,"Maniac - Bonus Track [From ""Glory""]",T-Series,61,9,3137198
Vishal Mishra,Manjha,Desi Music Factory,16,144,1666457
Gajendra Verma,Mann Mera,Sony Music / EROS Music,26,238,4898040
Gajendra Verma,Mann Mera - Original Version,Sony Music / EROS Music,96,19,2924769
Amar Karnawal,Mard,Masoom Sharma,182,11,1873541
Masoom Sharma,Mard,Masoom Sharma,182,11,1873541
Pinna Music,Mard,Masoom Sharma,182,11,1873541
Dhanda Nyoliwala,Maruti,FarArmy Productions,181,7,1504926
Miki Malang,Maruti,FarArmy Productions,181,7,1504926
Ron Likhari,Maruti,FarArmy Productions,181,7,1504926
Arijit Singh,"Mast Magan (From ""2 States"")",T-Series,45,236,2397561
Chinmayi,"Mast Magan (From ""2 States"")",T-Series,45,236,2397561
Arijit Singh,"Mast Magan (From ""2 States)",T-Series,43,246,3179614
Chinmayi,"Mast Magan (From ""2 States)",T-Series,43,246,3179614
Roop Kumar Rathod,Maula Mere Maula,Saregama,135,55,2107915
Antara Mitra,Mehrama,Sony Music Entertainment India Pvt. Ltd.,10,193,1231399
Darshan Raval,Mehrama,Sony Music Entertainment India Pvt. Ltd.,10,193,1231399
Pritam,Mehrama,Sony Music Entertainment India Pvt. Ltd.,10,193,1231399
Annkur R Pathakk,"Mera Hua (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,166,3,2720600
Sachin Urmtosh,"Mera Hua (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,166,3,2720600
Juss,Mera Mann,Speed Records,12,16,2944087
MixSingh,Mera Mann,Speed Records,12,16,2944087
Nikhil D'Souza,Mere Bina,Sony Music Entertainment India Pvt. Ltd.,147,10,1459492
Pritam,Mere Bina,Sony Music Entertainment India Pvt. Ltd.,147,10,1459492
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",T-Series,11,248,1306178
Tanishk-Vayu,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",T-Series,11,248,1306178
Priya Saraiya,Mere Mehboob,T-Series,29,23,1964897
Sachet Tandon,Mere Mehboob,T-Series,29,23,1964897
Sachin-Jigar,Mere Mehboob,T-Series,29,23,1964897
Shilpa Rao,Mere Mehboob,T-Series,29,23,1964897
Komal Chaudhary,Mere Mittar,Komal Chaudhary,77,11,2164308
Masoom Sharma,Mere Mittar,Komal Chaudhary,77,11,2164308
Parampara Tandon,"Mere Sohneya (From ""Kabir Singh"")",T-Series,4,290,2880130
Sachet Tandon,"Mere Sohneya (From ""Kabir Singh"")",T-Series,4,290,2880130
Sachet-Parampara,"Mere Sohneya (From ""Kabir Singh"")",T-Series,4,290,2880130
Yo Yo Honey Singh,Millionaire,T-Series,3,62,4270616
Arijit Singh,"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",T-Series,198,4,1445585
Jakes Bejoy,Minnalvala,Sony Music Entertainment India Pvt. Ltd.,17,20,3664913
Sid Sriram,Minnalvala,Sony Music Entertainment India Pvt. Ltd.,17,20,3664913
Sithara Krishnakumar,Minnalvala,Sony Music Entertainment India Pvt. Ltd.,17,20,3664913
Jakes Bejoy,"Minnalvala (From ""Narivetta"")",Sony Music Entertainment India Pvt. Ltd.,75,2,2590205
Sid Sriram,"Minnalvala (From ""Narivetta"")",Sony Music Entertainment India Pvt. Ltd.,75,2,2590205
Sithara Krishnakumar,"Minnalvala (From ""Narivetta"")",Sony Music Entertainment India Pvt. Ltd.,75,2,2590205
Caralisa Monteiro,Mitwa,Sony Music Entertainment India Pvt. Ltd.,119,64,2175658
Shafqat Amanat Ali,Mitwa,Sony Music Entertainment India Pvt. Ltd.,119,64,2175658
Shankar Mahadevan,Mitwa,Sony Music Entertainment India Pvt. Ltd.,119,64,2175658
Shankar-Ehsaan-Loy,Mitwa,Sony Music Entertainment India Pvt. Ltd.,119,64,2175658
Anirudh Ravichander,Mobsta,Sun Pictures,168,3,1947257
Heisenberg,Mobsta,Sun Pictures,168,3,1947257
Cheema Y,Mogambo,Brown Town Music,77,3,2096094
Gur Sidhu,Mogambo,Brown Town Music,77,3,2096094
Gurlez Akhtar,Mogambo,Brown Town Music,77,3,2096094
Anirudh Ravichander,Monica,Sun Pictures,15,17,4891919
Asal Kolaar,Monica,Sun Pictures,15,17,4891919
Krishna Kanth,Monica,Sun Pictures,110,9,1838350
Sublahshini,Monica,Sun Pictures,15,17,4891919
Anirudh Ravichander,"Monica (From ""Coolie"") (Tamil)",Sun Pictures,79,3,4107187
Asal Kolaar,"Monica (From ""Coolie"") (Tamil)",Sun Pictures,79,3,4107187
Sublahshini,"Monica (From ""Coolie"") (Tamil)",Sun Pictures,79,3,4107187
Vishnu Edavan,"Monica (From ""Coolie"") (Tamil)",Sun Pictures,79,3,4107187
Anirudh Ravichander,"Monica (From ""Coolie"") (Telugu)",Sun Pictures,128,1,1600443
Krishna Kanth,"Monica (From ""Coolie"") (Telugu)",Sun Pictures,128,1,1600443
Sublahshini,"Monica (From ""Coolie"") (Telugu)",Sun Pictures,128,1,1600443
Badshah,Morni,Saregama India Ltd,33,10,2064946
Hiten,Morni,Saregama India Ltd,33,10,2064946
Sharvi Yadav,Morni,Saregama India Ltd,33,10,2064946
A.R. Rahman,Muththa Mazhai,Saregama India Ltd,103,2,1721893
Dhee,Muththa Mazhai,Saregama India Ltd,103,2,1721893
Siva Ananth,Muththa Mazhai,Saregama India Ltd,103,2,1721893
A.R. Rahman,Muththa Mazhai (Reprise),Saregama India Ltd,83,7,2320589
Chinmayi,Muththa Mazhai (Reprise),Saregama India Ltd,83,7,2320589
Siva Ananth,Muththa Mazhai (Reprise),Saregama India Ltd,83,7,2320589
Karthik,NaaNaa Hyraanaa,Saregama India Ltd,143,4,1410971
Saraswati Putra Ramajogayya Sastry,NaaNaa Hyraanaa,Saregama India Ltd,143,4,1410971
Shreya Ghoshal,NaaNaa Hyraanaa,Saregama India Ltd,143,4,1410971
Thaman S,NaaNaa Hyraanaa,Saregama India Ltd,143,4,1410971
Karthik,"NaaNaa Hyraanaa (From ""Game Changer"") (Telugu)",Saregama India Ltd,143,3,1234908
Ramajogayya Sastry,"NaaNaa Hyraanaa (From ""Game Changer"") (Telugu)",Saregama India Ltd,143,3,1234908
Shreya Ghoshal,"NaaNaa Hyraanaa (From ""Game Changer"") (Telugu)",Saregama India Ltd,143,3,1234908
Thaman S,"NaaNaa Hyraanaa (From ""Game Changer"") (Telugu)",Saregama India Ltd,143,3,1234908
Vikram Sarkar,Naam Chale,All Good Music Pvt Ltd,65,16,5778764
Ndee Kundu,Naam Tera,White Hill Dhaakad,158,5,1515857
Bayaan,Nahin Milta,rearts records,147,11,1941542
Dhee,"Nain Matakka - From ""Baby John""",Zee Music Company,100,6,1649162
Diljit Dosanjh,"Nain Matakka - From ""Baby John""",Zee Music Company,100,6,1649162
Irshad Kamil,"Nain Matakka - From ""Baby John""",Zee Music Company,100,6,1649162
Thaman S,"Nain Matakka - From ""Baby John""",Zee Music Company,100,6,1649162
Badshah,"Naina (From ""Crew"")",Tips Music Limited,3,69,2689817
Diljit Dosanjh,"Naina (From ""Crew"")",Tips Music Limited,3,69,2689817
Raj Ranjodh,"Naina (From ""Crew"")",Tips Music Limited,3,69,2689817
Mohit Chauhan,Nallaru Po,Think Music,188,1,1340310
Sai Abhyankkar,Nallaru Po,Think Music,188,1,1340310
Tippu,Nallaru Po,Think Music,188,1,1340310
Vivek,Nallaru Po,Think Music,188,1,1340310
Amit Trivedi,Namo Namo,Zee Music Company,19,151,1360307
Divya Kumar,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Jaani,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Jasmine Sandlas,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Sachet Tandon,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Sumonto Mukherjee,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
White Noise Collectives,"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Arko,Nazm Nazm,Zee Music Company,106,67,1887217
Guri Nimana,Nazra Ke Teer,All Good Music Pvt Ltd,192,14,1828609
Vikram Sarkar,Nazra Ke Teer,All Good Music Pvt Ltd,192,14,1828609
Mxrci,Neal,Sidhu Moose Wala,179,1,1340489
Sidhu Moose Wala,Neal,Sidhu Moose Wala,179,1,1340489
A.R. Rahman,Nee Singam Dhan,Sony Music Entertainment India Pvt. Ltd.,94,24,1831195
Sid Sriram,Nee Singam Dhan,Sony Music Entertainment India Pvt. Ltd.,94,24,1831195
Vivek,Nee Singam Dhan,Sony Music Entertainment India Pvt. Ltd.,94,24,1831195
Kalyanji-Anandji,Neele Neele Ambar Par - Male Version,Sony Music India / 550 Music,179,2,1326774
Kishore Kumar,Neele Neele Ambar Par - Male Version,Sony Music India / 550 Music,179,2,1326774
One Direction,Night Changes,Syco Music,22,196,1463976
Shubh,No Love,SHUBH,2,138,1263406
Hammy Muzic,Not Like You,Hammy Muzic,188,7,1556797
Legacy,Not Like You,Hammy Muzic,188,7,1556797
Arijit Singh,O Maahi,T-Series,4,97,2535684
Irshad Kamil,O Maahi,T-Series,4,97,2535684
Pritam,O Maahi,T-Series,4,97,2535684
Atif Aslam,O Meri Laila,Zee Music Company,16,64,1762135
Jyotica Tangri,O Meri Laila,Zee Music Company,16,64,1762135
Javed Bashir,O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
Shankar-Ehsaan-Loy,O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
Shreya Ghoshal,O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
Vajid Ali,O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
Yusuf Mohammed,O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
Jaideep Sahni,O Re Piya,YRF Music,95,42,1282664
Rahat Fateh Ali Khan,O Re Piya,YRF Music,95,42,1282664
Salim–Sulaiman,O Re Piya,YRF Music,95,42,1282664
Arko,O Saathi,T-Series,52,171,2564660
Atif Aslam,O Saathi,T-Series,52,171,2564660
Kamal Heer,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
Manmohan Waris,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
Sangtar,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
Shashwat Sachdev,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
Sukhwinder Amrit,"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
Adhik Ravi Chandran,"Og Sambavam (From ""Good Bad Ugly"")",T-Series,151,1,1448952
G. V. Prakash,"Og Sambavam (From ""Good Bad Ugly"")",T-Series,151,1,1448952
Vishnu Edavan,"Og Sambavam (From ""Good Bad Ugly"")",T-Series,151,1,1448952
Nora Fatehi,Oh Mama! TETEMA,T-Series,125,1,1611498
Rayvanny,Oh Mama! TETEMA,T-Series,125,1,1611498
Sanjoy,Oh Mama! TETEMA,T-Series,125,1,1611498
Shreya Ghoshal,Oh Mama! TETEMA,T-Series,125,1,1611498
The Plugz Europe,Oh Mama! TETEMA,T-Series,125,1,1611498
Vishal Mishra,Oh Mama! TETEMA,T-Series,125,1,1611498
AP Dhillon,Old Money,AP Dhillon,13,38,1758561
Shubh,One Love,SHUBH,3,116,2575056
JENNIE,"One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,98,83,1547966
Lily-Rose Depp,"One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,98,83,1547966
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,98,83,1547966
Deepthi Suresh,Oorum Blood,Think Music,5,10,5729055
Paal Dabba,Oorum Blood,Think Music,5,10,5729055
Sai Abhyankkar,Oorum Blood,Think Music,5,10,5729055
bebhumika,Oorum Blood,Think Music,5,10,5729055
Deepthi Suresh,"Oorum Blood - From ""Dude""",Think Music,89,8,6128727
Paal Dabba,"Oorum Blood - From ""Dude""",Think Music,89,8,6128727
Sai Abhyankkar,"Oorum Blood - From ""Dude""",Think Music,89,8,6128727
bebhumika,"Oorum Blood - From ""Dude""",Think Music,89,8,6128727
Gurjit Gill,PAN INDIA,T-Series,116,3,1769887
Guru Randhawa,PAN INDIA,T-Series,116,3,1769887
Lavish Dhiman,PAN INDIA,T-Series,116,3,1769887
ATLXS,PASSO BEM SOLTO - Slowed,broke,197,10,1527635
Dilmaan,"PERFECT (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,79,6,2315776
Gill Machhrai,"PERFECT (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,79,6,2315776
Guru Randhawa,"PERFECT (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,79,6,2315776
Rony Ajnali,"PERFECT (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,79,6,2315776
Aditya Rikhari,Paaro,Universal Music India Pvt Ltd.,150,34,2890598
Arijit Singh,Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Javed-Mohsin,Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Kunaal Vermaa,Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Prashant Ingole,Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Shreya Ghoshal,Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Afusic,Pal Pal,Afusic,156,6,6370931
AliSoomroMusic,Pal Pal,Afusic,156,6,6370931
Afusic,Pal Pal (with Talwiinder),Afusic,69,3,2772203
AliSoomroMusic,Pal Pal (with Talwiinder),Afusic,69,3,2772203
Talwiinder,Pal Pal (with Talwiinder),Afusic,69,3,2772203
Kishore Kumar,"Pal Pal Dil Ke Paas - From ""Blackmail""",Universal Music India Pvt Ltd.,115,20,2302404
Arijit Singh,"Pal Pal Dil Ke Paas - Title Track - From ""Pal Pal Dil Ke Paas""",Zee Music Company,3,157,1691200
Parampara Thakur,"Pal Pal Dil Ke Paas - Title Track - From ""Pal Pal Dil Ke Paas""",Zee Music Company,3,157,1691200
Ayushmann Khurrana,Pani Da Rang - Male,Sony Music / EROS Music,68,62,1926654
Rochak Kohli,Pani Da Rang - Male,Sony Music / EROS Music,68,62,1926654
Atif Aslam,Paniyon Sa,T-Series,68,87,1312029
Rochak Kohli,Paniyon Sa,T-Series,68,87,1312029
Tulsi Kumar,Paniyon Sa,T-Series,68,87,1312029
AKASA,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Dev Negi,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Khesari Lal Yadav,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Masoom Sharma,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Nikhita Gandhi,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Pritam,"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
Amitabh Bhattacharya,"Pardesiya - From ""Param Sundari""",Universal Music India Pvt Ltd.,20,14,5906237
Krishnakali Saha,"Pardesiya - From ""Param Sundari""",Universal Music India Pvt Ltd.,20,14,5906237
Sachin-Jigar,"Pardesiya - From ""Param Sundari""",Universal Music India Pvt Ltd.,20,14,5906237
Sonu Nigam,"Pardesiya - From ""Param Sundari""",Universal Music India Pvt Ltd.,20,14,5906237
Aditya Rikhari,Paro,Universal Music India Pvt Ltd.,47,35,4512895
UNPLG'd,Paro,Universal Music India Pvt Ltd.,47,35,4512895
Amogh Balaji,"Pathikichu (From ""Vidaamuyarchi"")",Sony Music Entertainment India Pvt. Ltd.,153,3,1459264
Anirudh Ravichander,"Pathikichu (From ""Vidaamuyarchi"")",Sony Music Entertainment India Pvt. Ltd.,153,3,1459264
Yogi Sekar,"Pathikichu (From ""Vidaamuyarchi"")",Sony Music Entertainment India Pvt. Ltd.,153,3,1459264
Anirudh Ravichander,"Paththavaikkum (From ""Devara Part 1"")",T-Series,132,11,2585644
Deepthi Suresh,"Paththavaikkum (From ""Devara Part 1"")",T-Series,132,11,2585644
Vignesh Shivan,"Paththavaikkum (From ""Devara Part 1"")",T-Series,132,11,2585644
Paradox,Payal,T-Series,14,36,3342763
Yo Yo Honey Singh,Payal,T-Series,14,36,3342763
Irshad Kamil,Pee Loon,T-Series,37,90,1946994
Mohit Chauhan,Pee Loon,T-Series,37,90,1946994
Pritam,Pee Loon,T-Series,37,90,1946994
Chandra Bose,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Devi Sri Prasad,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Laxmi Dasa,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Shankarr Babu Kandukoori,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Siju Thuravoor,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Raj Shekhar,Pehle Bhi Main,T-Series,1,92,2778582
Vishal Mishra,Pehle Bhi Main,T-Series,1,92,2778582
Atif Aslam,Pehli Dafa,T-Series,90,105,2516396
Shiraz Uppal,Pehli Dafa,T-Series,90,105,2516396
Ed Sheeran,Perfect,Atlantic Records UK,29,287,1691633
Amitabh Bhattacharya,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama India Ltd,1,106,1607800
Arijit Singh,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama India Ltd,1,106,1607800
Sachin-Jigar,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama India Ltd,1,106,1607800
Arijit Singh,Phir Bhi Tumko Chaahunga,Zee Music Company,149,51,1855143
Manoj Muntashir,Phir Bhi Tumko Chaahunga,Zee Music Company,149,51,1855143
Mithoon,Phir Bhi Tumko Chaahunga,Zee Music Company,149,51,1855143
Shashaa Tirupati,Phir Bhi Tumko Chaahunga,Zee Music Company,149,51,1855143
Arijit Singh,"Phir Mohabbat (From ""Murder 2"")",T-Series,135,51,1784172
Mohammed Irfan,"Phir Mohabbat (From ""Murder 2"")",T-Series,135,51,1784172
Saim Bhat,"Phir Mohabbat (From ""Murder 2"")",T-Series,135,51,1784172
G. V. Prakash,Pirai Thedum,Gemini Audio/Gemini Entertainment & Mobile Media Services,107,5,1354802
Saindhavi,Pirai Thedum,Gemini Audio/Gemini Entertainment & Mobile Media Services,107,5,1354802
Atif Aslam,Piya O Re Piya,Tips Music Limited,114,18,1731718
Sachin-Jigar,Piya O Re Piya,Tips Music Limited,114,18,1731718
Shreya Ghoshal,Piya O Re Piya,Tips Music Limited,114,18,1731718
Cheema Y,Police,Brown Town Music,69,12,1990494
Gur Sidhu,Police,Brown Town Music,69,12,1990494
Jasmeen Akhtar,Police,Brown Town Music,69,12,1990494
Santhosh Narayanan,"Pottala Muttaye - From ""Thalaivan Thalaivii""",Think Music,112,11,1804412
Sublahshini,"Pottala Muttaye - From ""Thalaivan Thalaivii""",Think Music,112,11,1804412
Vivek,"Pottala Muttaye - From ""Thalaivan Thalaivii""",Think Music,112,11,1804412
Anirudh Ravichander,Powerhouse,Sun Pictures,20,16,4726621
Arivu,Powerhouse,Sun Pictures,20,16,4726621
Anirudh Ravichander,"Powerhouse (From ""Coolie"") (Tamil)",Sun Pictures,184,2,3716784
Arivu,"Powerhouse (From ""Coolie"") (Tamil)",Sun Pictures,184,2,3716784
Darshan Raval,"Preet Re - From ""Dhadak 2""",Zee Music Company,185,14,2396768
Gurpreet Saini,"Preet Re - From ""Dhadak 2""",Zee Music Company,185,14,2396768
Jonita Gandhi,"Preet Re - From ""Dhadak 2""",Zee Music Company,185,14,2396768
Rochak Kohli,"Preet Re - From ""Dhadak 2""",Zee Music Company,185,14,2396768
Anurag Kulkarni,"Premalo (From ""Court"")",Saregama India Ltd,53,11,2962678
Purnachary,"Premalo (From ""Court"")",Saregama India Ltd,53,11,2962678
Sameera Bharadwaj,"Premalo (From ""Court"")",Saregama India Ltd,53,11,2962678
Vijai Bulganin,"Premalo (From ""Court"")",Saregama India Ltd,53,11,2962678
Connie Francis,Pretty Little Baby,Universal Records,125,4,1606064
Aastha Gill,Proper Patola,Sony Music Entertainment India Pvt. Ltd.,18,120,1203721
Badshah,Proper Patola,Sony Music Entertainment India Pvt. Ltd.,18,120,1203721
Diljit Dosanjh,Proper Patola,Sony Music Entertainment India Pvt. Ltd.,18,120,1203721
Amit Trivedi,Qaafirana,Zee Music Company,40,189,1350590
Arijit Singh,Qaafirana,Zee Music Company,40,189,1350590
Nikhita Gandhi,Qaafirana,Zee Music Company,40,189,1350590
Gill Machhrai,Qatal,Warner Music India,116,28,5498417
Guru Randhawa,Qatal,Warner Music India,116,28,5498417
Sanjoy,Qatal,Warner Music India,116,28,5498417
Amitabh Bhattacharya,Qayde Se,T-Series,198,7,1709404
Arijit Singh,Qayde Se,T-Series,198,7,1709404
Pritam,Qayde Se,T-Series,198,7,1709404
Arijit Singh,Raabta,T-Series,41,160,2393948
Pritam,Raabta,T-Series,41,160,2393948
Kausar Munir,"Raanjhan (From ""Do Patti"")",T-Series,2,55,9492013
Parampara Tandon,"Raanjhan (From ""Do Patti"")",T-Series,2,55,9492013
Sachet-Parampara,"Raanjhan (From ""Do Patti"")",T-Series,2,55,9492013
A.R. Rahman,"Raanjhanaa (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,110,64,2183883
Jaswinder Singh,"Raanjhanaa (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,110,64,2183883
Shiraz Uppal,"Raanjhanaa (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,110,64,2183883
Aditya Dev,"Raat Bhar (From ""De De Pyaar De 2"")",T-Series,37,1,2693733
Aditya Rikhari,"Raat Bhar (From ""De De Pyaar De 2"")",T-Series,37,1,2693733
Kumaar,"Raat Bhar (From ""De De Pyaar De 2"")",T-Series,37,1,2693733
Payal Dev,"Raat Bhar (From ""De De Pyaar De 2"")",T-Series,37,1,2693733
Masoom Sharma,Raat Ke Shikari,Sonotek Cassettes,172,22,3288498
Sweta Chauhan,Raat Ke Shikari,Sonotek Cassettes,172,22,3288498
Yash Thukral,Raat Ke Shikari,Sonotek Cassettes,172,22,3288498
Aditya Rikhari,Raatein Guzaari,Tips Music Limited,198,3,1342678
Amitabh Bhattacharya,Rahein Na Rahein Hum - From “Thamma”,Universal Music India Pvt. Ltd.,107,2,1824494
Sachin-Jigar,Rahein Na Rahein Hum - From “Thamma”,Universal Music India Pvt. Ltd.,107,2,1824494
Soumyadeep Sarkar,Rahein Na Rahein Hum - From “Thamma”,Universal Music India Pvt. Ltd.,107,2,1824494
Masoom Sharma,Ramayan Ka Saar,Masoom Sharma,185,21,2032858
Satinder Sartaaj,"Rang (From ""Sky Force"")",Saregama India Ltd,198,1,1252551
Shloke Lal,"Rang (From ""Sky Force"")",Saregama India Ltd,198,1,1252551
Tanishk Bagchi,"Rang (From ""Sky Force"")",Saregama India Ltd,198,1,1252551
Zahrah S Khan,"Rang (From ""Sky Force"")",Saregama India Ltd,198,1,1252551
Mohit Chauhan,Rang Lageya,Saregama,35,77,1283451
Rochak Kohli,Rang Lageya,Saregama,35,77,1283451
B Praak,Ranjha,Sony Music Entertainment India Pvt. Ltd.,1,178,1861535
Jasleen Royal,Ranjha,Sony Music Entertainment India Pvt. Ltd.,1,178,1861535
Romy,Ranjha,Sony Music Entertainment India Pvt. Ltd.,1,178,1861535
B Praak,"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,222,2570937
Jasleen Royal,"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,222,2570937
Romy,"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,222,2570937
Cheema Y,Ranjhea,Brown Town Music,156,1,1495453
Gur Sidhu,Ranjhea,Brown Town Music,156,1,1495453
Zain Zohaib,Ranjheya Ve,Zain Zohaib,187,37,3024232
Anirudh Ravichander,"Rise Of Dragon - From ""Dragon""",Think Music,193,1,1246249
Leon James,"Rise Of Dragon - From ""Dragon""",Think Music,193,1,1246249
Vignesh Shivan,"Rise Of Dragon - From ""Dragon""",Think Music,193,1,1246249
Hanumankind,Run It Up,Capitol Records/Universal Music India,154,5,2402731
Dhanda Nyoliwala,Russian Bandana,Universal Music India Pvt Ltd.,6,58,3335686
ARJN,SHERIYA,Universal Music India Pvt Ltd.,147,3,1501524
KDS,SHERIYA,Universal Music India Pvt Ltd.,147,3,1501524
RONN,SHERIYA,Universal Music India Pvt Ltd.,147,3,1501524
AP Dhillon,STFU,AP Dhillon,30,25,3228944
Shinda Kahlon,STFU,AP Dhillon,30,25,3228944
Aditya Rikhari,Sahiba,T-Series,1,18,12797116
Aditya Sharma,Sahiba,Warner Music India,5,50,8008061
Jasleen Royal,Sahiba,Warner Music India,5,50,8008061
Priya Saraiya,Sahiba,Warner Music India,5,50,8008061
Radhikka Madan,Sahiba,Warner Music India,5,50,8008061
Stebin Ben,Sahiba,Warner Music India,5,50,8008061
Vijay Deverakonda,Sahiba,Warner Music India,5,50,8008061
Sachin-Jigar,Saibo,Sony Music Entertainment India Pvt. Ltd.,31,262,2846074
Shreya Ghoshal,Saibo,Sony Music Entertainment India Pvt. Ltd.,31,262,2846074
Tochi Raina,Saibo,Sony Music Entertainment India Pvt. Ltd.,31,262,2846074
Arslan Nizami,Saiyaara,YRF Music,1,21,8188778
Faheem Abdullah,Saiyaara,YRF Music,1,21,8188778
Irshad Kamil,Saiyaara,YRF Music,1,21,8188778
Tanishk Bagchi,Saiyaara,YRF Music,1,21,8188778
Arslan Nizami,"Saiyaara (From ""Saiyaara"")",YRF Music,89,18,26355165
Faheem Abdullah,"Saiyaara (From ""Saiyaara"")",YRF Music,89,18,26355165
Irshad Kamil,"Saiyaara (From ""Saiyaara"")",YRF Music,89,18,26355165
Tanishk Bagchi,"Saiyaara (From ""Saiyaara"")",YRF Music,89,18,26355165
Arslan Nizami,Saiyaara Reprise - Female,YRF Music,6,16,8481535
Faheem Abdullah,Saiyaara Reprise - Female,YRF Music,6,16,8481535
Irshad Kamil,Saiyaara Reprise - Female,YRF Music,6,16,8481535
Shreya Ghoshal,Saiyaara Reprise - Female,YRF Music,6,16,8481535
Tanishk Bagchi,Saiyaara Reprise - Female,YRF Music,6,16,8481535
Arslan Nizami,Saiyaara Teaser,YRF Music,168,1,1449924
Faheem Abdullah,Saiyaara Teaser,YRF Music,168,1,1449924
Irshad Kamil,Saiyaara Teaser,YRF Music,168,1,1449924
Tanishk Bagchi,Saiyaara Teaser,YRF Music,168,1,1449924
