artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Asees Kaur,"Bolna (From ""Kapoor & Sons (Since 1921)"")",Sony Music Entertainment India Pvt. Ltd.,59,104,1550521
Tanishk Bagchi,"Bolna (From ""Kapoor & Sons (Since 1921)"")",Sony Music Entertainment India Pvt. Ltd.,59,104,1550521
Diljit Dosanjh,Born to Shine,FAMOUS STUDIOS INC,14,105,2626090
Ikky,Boyfriend,WM Canada,124,11,3854622
Karan Aujla,Boyfriend,WM Canada,124,11,3854622
Shubh,Buckle Up,SHUBH,125,3,1593639
Devi Sri Prasad,"Bujji Thalli (From ""Thandel"")",Aditya Music,80,18,3057746
Javed Ali,"Bujji Thalli (From ""Thandel"")",Aditya Music,80,18,3057746
Shree Mani,"Bujji Thalli (From ""Thandel"")",Aditya Music,80,18,3057746
Irshad Kamil,Bulleya,YRF Music,146,43,2835726
Papon,Bulleya,YRF Music,146,43,2835726
Vishal-Shekhar,Bulleya,YRF Music,146,43,2835726
BIG KAY SMG,C.R.E.A.M POSSE,SMG STUDIO'S,148,3,1491966
Baggh-e SMG,C.R.E.A.M POSSE,SMG STUDIO'S,148,3,1491966
Farmaan SMG,C.R.E.A.M POSSE,SMG STUDIO'S,148,3,1491966
Dabzee,CHAL,Mass Appeal,163,2,1411100
Fathima Jahaan,CHAL,Mass Appeal,163,2,1411100
Rishi Roy,CHAL,Mass Appeal,163,2,1411100
Cheema Y,California Love,Brown Town Music,27,86,1401571
Gur Sidhu,California Love,Brown Town Music,27,86,1401571
Prem Dhillon,Can't Be Us,Prem Dhillon,77,1,2192410
Sudesh Kumari,Can't Be Us,Prem Dhillon,77,1,2192410
The Kidd,Can't Be Us,Prem Dhillon,77,1,2192410
Arijit Singh,"Chahun Main Ya Naa (From ""Aashiqui 2"")",T-Series,108,107,1800886
Palak Muchhal,"Chahun Main Ya Naa (From ""Aashiqui 2"")",T-Series,108,107,1800886
Amaal Mallik,"Chale Aana (From ""De De Pyaar De"")",T-Series,18,137,1716040
Armaan Malik,"Chale Aana (From ""De De Pyaar De"")",T-Series,18,137,1716040
Kunaal Vermaa,"Chale Aana (From ""De De Pyaar De"")",T-Series,18,137,1716040
Anirudh Ravichander,Chaleya,T-Series,1,96,1711334
Arijit Singh,Chaleya,T-Series,1,96,1711334
Kumaar,Chaleya,T-Series,1,96,1711334
Shilpa Rao,Chaleya,T-Series,1,96,1711334
Masoom Sharma,Chambal K Dakku,Bajewala Records,115,34,2605984
Rahul Muana,Chambal K Dakku,Bajewala Records,115,34,2605984
Ruba Khan,Chambal K Dakku,Bajewala Records,115,34,2605984
Swara Verma,Chambal K Dakku,Bajewala Records,115,34,2605984
Akon,Chammak Challo,T-Series,105,60,1465691
Hamsika Iyer,Chammak Challo,T-Series,105,60,1465691
Niranjan Iyengar,Chammak Challo,T-Series,105,60,1465691
Vishal Dadlani,Chammak Challo,T-Series,105,60,1465691
Vishal-Shekhar,Chammak Challo,T-Series,105,60,1465691
Jatin-Lalit,Chand Sifarish,YRF Music,98,68,1499981
Kailash Kher,Chand Sifarish,YRF Music,98,68,1499981
Prasoon Joshi,Chand Sifarish,YRF Music,98,68,1499981
Shaan,Chand Sifarish,YRF Music,98,68,1499981
Arijit Singh,Channa Mereya,Sony Music Entertainment India Pvt. Ltd.,58,221,1378173
Pritam,Channa Mereya,Sony Music Entertainment India Pvt. Ltd.,58,221,1378173
Akhil Sachdeva,"Channa Ve - From ""Bhoot - Part One: The Haunted Ship""",Zee Music Company,33,82,1660604
Mansheel Gujral,"Channa Ve - From ""Bhoot - Part One: The Haunted Ship""",Zee Music Company,33,82,1660604
Amrita Kak,Character Dheela,T-Series,188,4,1382056
Neeraj Shridhar,Character Dheela,T-Series,188,4,1382056
Pritam,Character Dheela,T-Series,188,4,1382056
Paradox,Check It Out,SDA Studios,19,66,1267619
Parmish Verma,Check It Out,SDA Studios,19,66,1267619
Shubh,Cheques,SHUBH,1,128,2665646
Anirudh Ravichander,Chikitu,Sun Pictures,130,5,2084343
Arivu,Chikitu,Sun Pictures,130,5,2084343
T. Rajendar,Chikitu,Sun Pictures,130,5,2084343
Anirudh Ravichander,"Chikitu (From ""Coolie"") (Tamil)",Sun Pictures,195,1,1342838
Arivu,"Chikitu (From ""Coolie"") (Tamil)",Sun Pictures,195,1,1342838
T. Rajendar,"Chikitu (From ""Coolie"") (Tamil)",Sun Pictures,195,1,1342838
Ajay-Atul,Chikni Chameli,Sony Music Entertainment India Pvt. Ltd.,194,1,1309112
Shreya Ghoshal,Chikni Chameli,Sony Music Entertainment India Pvt. Ltd.,194,1,1309112
Hanan Shaah,Chirapunji - From Saina Music Indie,Saina Music Indie,117,3,1953746
Nihal Sadiq,Chirapunji - From Saina Music Indie,Saina Music Indie,117,3,1953746
The Local Train,Choo Lo,The Local Train,49,84,1340946
Abhijeet,Chunnari Chunnari,Tips Industries Ltd,187,1,1331826
Anuradha Sriram,Chunnari Chunnari,Tips Industries Ltd,187,1,1331826
Kanika Kapoor,Churake,Universal Music India Pvt Ltd.,174,2,1293035
Vilen,Churake,Universal Music India Pvt Ltd.,174,2,1293035
Anirudh Ravichander,"Chuttamalle (From ""Devara Part 1"")",T-Series,4,63,2948251
Ramajogayya Sastry,"Chuttamalle (From ""Devara Part 1"")",T-Series,4,63,2948251
Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",T-Series,4,63,2948251
Cheema Y,Convo,Collab Creations Ltd,186,3,1394830
Chinna,Convo,Collab Creations Ltd,186,3,1394830
Gur Sidhu,Convo,Collab Creations Ltd,186,3,1394830
Anirudh Ravichander,Coolie Disco,Sun Pictures,171,1,1430141
Karan Aujla,Courtside,Karan Aujla Music,13,18,3377052
Signature By SB,Courtside,Karan Aujla Music,13,18,3377052
The Weeknd,Cry For Me,XO / Republic Records,185,10,1422945
Cheema Y,DXB,Brown Town Music,70,3,2183357
Gur Sidhu,DXB,Brown Town Music,70,3,2183357
Ikky,Daytona,WM Canada,102,3,1835730
Karan Aujla,Daytona,WM Canada,102,3,1835730
Javed Ali,Deewana Kar Raha Hai,T-Series,164,29,2084218
Bir,Deewane,Universal Music India Pvt Ltd.,139,2,1647634
Navaan Sandhu,Deewane,Universal Music India Pvt Ltd.,139,2,1647634
