track_name,source,peak_rank,weeks_on_chart,streams
Faasle,CollabX Productions,123,37,1481984
Fell For You,SHUBH,179,41,2655959
Finding Her,EYP Creations,66,35,9124718
"Firestorm (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,179,10,2210927
For A Reason,WM Canada,15,11,8405250
G.O.A.T.,FAMOUS STUDIOS INC,1,58,1487779
Gaadi 150,Big Wave Music,186,19,2726659
Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
Gears,Panj-aab Records,197,2,1263395
Gentleman 2,Global Music Junction,112,8,1878896
"God Bless U (From ""Good Bad Ugly"")",T-Series,125,3,1589720
God Damn,Universal Music India Pvt Ltd.,15,59,1665979
"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",T-Series,189,12,2350490
"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,24,1465630
Gulabi Aankhen,Universal Music India Pvt Ltd.,103,48,1671405
Gulabi Sadi,Sanjay Rathod,11,28,1506349
Gundey Dore Pe,Rajak Media Entertainment,162,2,1420530
"Guns and Roses (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,161,3,2076397
"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Guzarish,T-Series,148,42,1872220
HIM.,WM Canada,98,10,1950581
Haal-E-Dil - Female,Sony Music / EROS Music,151,2,1554203
Haan Ke Haan,YRF Music,9,45,1953028
Haan Tu Hain,Sony Music Entertainment India Pvt. Ltd.,115,3,1287844
Haji Mastan,Brown Town Music,91,2,1975306
Hale Dil,T-Series,98,53,2161764
Hamari Adhuri Kahani (Title Track),Sony Music Entertainment India Pvt. Ltd.,56,207,1756622
Haseen,Talwiinder,188,23,5962988
Hasi - Male Version,Sony Music Entertainment India Pvt. Ltd.,77,123,2163438
Hass Hass,Warner Music India,5,58,1312420
Hawayein,Sony Music Entertainment India Pvt. Ltd.,51,213,2178247
Heat Waves,Polydor Records,3,129,1532941
Heer,Freebird Records,133,7,2931370
Heeriye (feat. Arijit Singh),Warner Music India,1,112,2350752
Hey Minnale,Saregama India Ltd,10,16,1832386
High On You,Sony Music India / Nine,191,18,3394584
Hona Tha Pyar,Tips Industries Ltd,155,28,2198013
"Hua Main (From ""ANIMAL"")",T-Series,6,71,1440161
